case,object_kind,object_radius,object_center_x,object_center_y,visual_contact_point_count,active_contact_owners,solver_contact_owners,final_command,q_mcp_deg,q_pip_deg,q_dip_deg,spring_energy,tendon_potential,max_penetration,min_contact_margin,optimization_success,optimization_message,tip_x,tip_y
proximal-middle object,circle,7.0,34.730608,-10.795296,3,link_0 link_1 link_1,link_0 link_1,0.95,-2.683927145446858,-55.07239346579922,-67.29702364395486,0.7734109476352011,-1.5885594767577125,0.0,6.217248937900877e-15,True,Optimization terminated successfully,42.25926145568159,-43.5646653095235
middle-distal object,circle,7.0,37.686544,-43.484382,3,link_1 link_2 link_2,link_1 link_2,1.1,-29.333358522805096,-31.47677885921795,-64.26162791626481,0.6380186149824587,-1.9218069078217215,6.217248937900877e-15,-6.217248937900877e-15,True,Optimization terminated successfully,35.885869502929175,-62.04536415625018
palm-proximal object,circle,7.0,-2.904075,-8.24136,3,link_0 palm link_0,link_0,0.4,-7.594054352760203,-23.188328569975507,-28.335581635527078,0.14785043962753608,-0.3267550443181301,0.0,8.881784197001252e-16,True,Optimization terminated successfully,74.99644284269351,-38.496915022814854
